Date,Open,High,Low,Close,Adj Close,Volume
2015-10-08,1305.000000,1305.000000,1305.000000,1305.000000,1295.100708,0
2015-10-09,1313.229980,1316.000000,1303.689941,1316.000000,1306.017456,11510
2015-10-12,1316.000000,1316.000000,1316.000000,1316.000000,1306.017456,0
2015-10-13,1316.000000,1316.000000,1316.000000,1316.000000,1306.017456,0
2015-10-14,1320.000000,1320.000000,1320.000000,1320.000000,1309.986938,30
2015-10-15,1320.000000,1320.000000,1320.000000,1320.000000,1309.986938,0
2015-10-16,1338.000000,1343.270020,1338.000000,1343.270020,1333.080322,415
2015-10-19,1343.270020,1343.270020,1343.270020,1343.270020,1333.080322,0
2015-10-20,1336.099976,1345.000000,1336.099976,1345.000000,1334.797363,1545
2015-10-21,1342.000000,1360.000000,1341.589966,1341.589966,1331.412964,4357
2015-10-22,1341.589966,1341.589966,1341.589966,1341.589966,1331.412964,0
2015-10-23,1365.469971,1365.469971,1365.469971,1341.589966,1331.412964,1
2015-10-26,1350.000000,1380.000000,1350.000000,1380.000000,1369.531860,310
2015-10-27,1380.000000,1380.000000,1380.000000,1380.000000,1369.531860,0
2015-10-28,1380.000000,1380.000000,1380.000000,1380.000000,1369.531860,0
2015-10-29,1380.000000,1380.000000,1380.000000,1380.000000,1369.531860,0
2015-10-30,1380.000000,1380.000000,1380.000000,1380.000000,1369.531860,0
2015-11-03,1397.000000,1417.020020,1397.000000,1417.000000,1406.251343,175
2015-11-04,1428.800049,1428.800049,1421.869995,1421.869995,1411.084106,9305
2015-11-05,1421.869995,1421.869995,1421.869995,1421.869995,1411.084106,0
2015-11-06,1421.869995,1421.869995,1421.869995,1421.869995,1411.084106,0
2015-11-09,1400.000000,1400.000000,1400.000000,1400.000000,1390.093872,11
2015-11-10,1400.000000,1400.000000,1400.000000,1400.000000,1390.093872,0
2015-11-11,1400.000000,1400.000000,1400.000000,1400.000000,1390.093872,0
2015-11-12,1339.000000,1339.000000,1333.329956,1333.329956,1323.895630,61
2015-11-13,1305.969971,1305.969971,1305.969971,1305.969971,1296.729004,11500
2015-11-17,1336.000000,1336.000000,1336.000000,1336.000000,1326.546509,5520
2015-11-18,1336.000000,1336.000000,1336.000000,1336.000000,1326.546509,0
2015-11-19,1334.599976,1334.599976,1334.599976,1334.599976,1325.156616,280
2015-11-20,1317.000000,1317.000000,1317.000000,1317.000000,1307.681274,34
2015-11-23,1317.000000,1317.000000,1317.000000,1317.000000,1307.681274,0
2015-11-24,1339.400024,1339.400024,1339.400024,1317.000000,1307.681274,4
2015-11-25,1343.000000,1343.000000,1343.000000,1343.000000,1333.497314,7
2015-11-26,1343.000000,1343.000000,1343.000000,1343.000000,1333.497314,0
2015-11-27,1343.000000,1343.000000,1343.000000,1343.000000,1333.497314,0
2015-11-30,1343.000000,1343.000000,1343.000000,1343.000000,1333.497314,268
2015-12-01,1343.000000,1343.000000,1343.000000,1343.000000,1333.497314,0
2015-12-02,1343.000000,1343.000000,1343.000000,1343.000000,1333.497314,0
2015-12-03,1343.000000,1343.000000,1343.000000,1343.000000,1333.497314,0
2015-12-04,1298.000000,1298.000000,1298.000000,1298.000000,1288.815552,890
2015-12-07,1298.000000,1298.000000,1293.000000,1293.000000,1283.851196,219
2015-12-08,1288.910034,1288.910034,1288.910034,1288.910034,1279.789917,190
2015-12-09,1288.910034,1288.910034,1288.910034,1288.910034,1279.789917,0
2015-12-10,1307.310059,1307.310059,1307.310059,1307.310059,1298.059937,195
2015-12-11,1293.670044,1293.670044,1293.670044,1293.670044,1284.516479,195
2015-12-14,1293.670044,1293.670044,1293.670044,1293.670044,1284.516479,0
2015-12-15,1293.670044,1293.670044,1293.670044,1293.670044,1284.516479,0
2015-12-16,1293.670044,1293.670044,1293.670044,1293.670044,1284.516479,0
2015-12-17,1333.000000,1334.000000,1333.000000,1334.000000,1324.561157,665
2015-12-18,1334.000000,1334.000000,1334.000000,1334.000000,1324.561157,0
2015-12-21,1334.000000,1334.000000,1334.000000,1334.000000,1324.561157,0
2015-12-22,1336.000000,1336.000000,1336.000000,1336.000000,1326.546509,185
2015-12-23,1336.000000,1336.000000,1336.000000,1336.000000,1326.546509,0
2015-12-24,1336.000000,1336.000000,1336.000000,1336.000000,1326.546509,0
2015-12-28,1354.939941,1354.939941,1354.939941,1354.939941,1345.352661,202
2015-12-29,1354.939941,1354.939941,1354.939941,1354.939941,1345.352661,0
2015-12-30,1354.939941,1354.939941,1354.939941,1354.939941,1345.352661,0
2015-12-31,1354.939941,1354.939941,1354.939941,1354.939941,1345.352661,0
2016-01-04,1354.939941,1354.939941,1354.939941,1354.939941,1345.352661,0
2016-01-05,1354.939941,1354.939941,1354.939941,1354.939941,1345.352661,0
2016-01-06,1354.939941,1354.939941,1354.939941,1354.939941,1345.352661,0
2016-01-07,1354.939941,1362.000000,1351.030029,1351.030029,1341.470459,1152
2016-01-08,1351.030029,1351.030029,1351.030029,1351.030029,1341.470459,0
2016-01-11,1351.030029,1351.030029,1351.030029,1351.030029,1341.470459,0
2016-01-12,1310.000000,1364.939941,1310.000000,1364.939941,1355.281860,28
2016-01-13,1364.939941,1364.939941,1364.939941,1364.939941,1355.281860,0
2016-01-14,1374.939941,1397.270020,1374.939941,1397.270020,1387.383301,33
2016-01-15,1410.000000,1410.000000,1410.000000,1410.000000,1400.023193,75
2016-01-18,1410.000000,1410.000000,1410.000000,1410.000000,1400.023193,0
2016-01-19,1403.300049,1403.300049,1387.000000,1387.000000,1377.186157,1670
2016-01-20,1369.000000,1369.000000,1335.170044,1335.170044,1325.722534,2784
2016-01-21,1386.500000,1392.000000,1386.500000,1392.000000,1382.150513,5000
2016-01-22,1388.199951,1404.000000,1385.000000,1404.000000,1394.065796,625
2016-01-25,1404.000000,1404.000000,1404.000000,1404.000000,1394.065796,0
2016-01-26,1411.430054,1411.430054,1411.430054,1411.430054,1401.442871,500
2016-01-27,1411.430054,1411.430054,1411.430054,1411.430054,1401.442871,0
2016-01-28,1396.800049,1396.800049,1396.800049,1396.800049,1386.916504,183
2016-01-29,1397.500000,1397.500000,1397.500000,1397.500000,1387.611694,100
2016-02-02,1367.719971,1374.000000,1367.719971,1374.000000,1364.278076,2143
2016-02-03,1422.000000,1422.000000,1422.000000,1422.000000,1411.938599,182
2016-02-04,1422.000000,1422.000000,1422.000000,1422.000000,1411.938599,0
2016-02-05,1422.000000,1422.000000,1422.000000,1422.000000,1411.938599,0
2016-02-08,1512.000000,1512.000000,1512.000000,1512.000000,1501.301392,464
2016-02-09,1502.000000,1506.000000,1493.000000,1506.000000,1496.066040,250
2016-02-10,1512.099976,1512.099976,1512.099976,1506.000000,1496.066040,2
2016-02-11,1506.000000,1506.000000,1506.000000,1506.000000,1496.066040,0
2016-02-12,1522.000000,1522.000000,1522.000000,1506.000000,1496.066040,2
2016-02-15,1532.000000,1545.459961,1532.000000,1506.000000,1496.066040,2
2016-02-16,1545.459961,1545.459961,1545.459961,1545.459961,1535.265869,6
2016-02-17,1520.000000,1520.000000,1520.000000,1545.459961,1535.265869,332
2016-02-18,1545.459961,1545.459961,1545.459961,1545.459961,1535.265869,0
2016-02-19,1490.000000,1490.000000,1490.000000,1490.000000,1480.171753,43
2016-02-22,1505.000000,1505.000000,1505.000000,1505.000000,1495.072876,37
2016-02-23,1485.000000,1485.300049,1480.599976,1482.359985,1472.582031,1185
2016-02-24,1484.900024,1484.900024,1483.760010,1483.760010,1473.973022,31871
2016-02-25,1483.760010,1483.760010,1483.760010,1483.760010,1473.973022,0
2016-02-26,1474.609985,1474.609985,1474.609985,1474.609985,1464.883179,26
2016-02-29,1464.109985,1464.109985,1464.109985,1464.109985,1454.452515,320
2016-03-01,1462.000000,1462.000000,1453.000000,1453.000000,1443.416016,120
2016-03-02,1457.000000,1489.060059,1416.260010,1470.500000,1460.800415,1497
2016-03-03,1467.000000,1467.000000,1467.000000,1470.500000,1460.800415,3
2016-03-04,1466.000000,1470.599976,1462.000000,1469.000000,1459.310425,1893
2016-03-07,1479.699951,1494.020020,1479.699951,1494.020020,1484.165161,199
2016-03-08,1500.000000,1500.000000,1490.530029,1490.530029,1480.698242,721
2016-03-09,1470.000000,1470.000000,1465.000000,1465.000000,1455.336548,349
2016-03-10,1467.000000,1467.000000,1467.000000,1467.000000,1457.323608,94
2016-03-11,1451.349976,1451.349976,1451.349976,1451.349976,1441.776489,166
2016-03-14,1424.000000,1424.000000,1424.000000,1424.000000,1414.607056,15
2016-03-15,1478.500000,1478.500000,1478.500000,1478.500000,1468.747437,210
2016-03-16,1470.199951,1470.199951,1459.250000,1462.000000,1452.356689,3836
2016-03-17,1470.000000,1470.000000,1467.500000,1467.500000,1457.820313,462
2016-03-18,1459.000000,1459.000000,1450.699951,1450.699951,1441.130737,819
2016-03-22,1450.699951,1450.699951,1450.699951,1450.699951,1441.130737,0
2016-03-23,1471.229980,1471.229980,1471.229980,1471.229980,1461.525513,1485
2016-03-28,1465.400024,1465.400024,1465.400024,1465.400024,1455.734375,148
2016-03-29,1453.500000,1453.500000,1453.500000,1453.500000,1443.912598,91
2016-03-30,1453.250000,1453.250000,1448.069946,1448.069946,1438.518433,401
2016-03-31,1397.239990,1397.239990,1397.239990,1397.239990,1388.023682,12
2016-04-01,1397.239990,1397.239990,1397.239990,1397.239990,1388.023682,0
